filename:,/opt/hgcapp/services-hedera/HapiApp2.0/data/stats/MainNetStats0.csv,
avgStateCopyAdmit:,average time it takes to acquire the lock for fast copying the state (in microseconds),
avgTransSubmitMicros:,average time spent submitting a user transaction (in microseconds),
bytes/sec_catchup:,number of bytes sent per second to help others catch up,
bytes/sec_sent:,number of bytes sent per second over the network (total for this member),
bytes/sec_sent_00:,bytes per second sent to node 00,
bytes/sec_sync:,average number of bytes per second transfered during a sync,
bytes/sec_sys:,number of bytes in the system transactions received per second (from unique events created by self and others),
bytes/sec_trans:,number of bytes in the transactions received per second (from unique events created by self and others),
bytes/trans:,number of bytes in each transactions,
bytes/trans_sys:,number of bytes in each system transaction,
cEvents/sec:,number of events per second created by this node,
coinR:,number of coin rounds that have occurred so far,
conns:,number of times a TLS connections was created,
consEvents:,average number of events in the consensus queue (q2) waiting to be handled,
consEventsMAX:,max value of consEvents,
consRound-buildStateMillis:,average time spent building a signed state,
consRound-dataPropMillis/round:,average time to propagate consensus data to transactions,
consRound-forSigCleanMillis:,average time spent expiring signed state storage events,
consRound-handleMillis/round:,average time to handle a consensus round,
consRound-hashMillis/round:,average time spent hashing the consensus round events,
consRound-storeMillis/round:,average time to add consensus round events to signed state storage,
consRound-total:,average total time spend in the consRound cycle.,
cpuLoadSys:,the CPU load of the whole system,
directMemInMB:,megabytes of off-heap (direct) memory being used by the JVM,
directMemPercent:,off-heap (direct) memory used as a percent of MaxDirectMemorySize,
DiskspaceFree:,disk space being used right now,
DiskspaceUsed:,disk space free for use by the node,
DiskspaceWhole:,total disk space available on node,
dupEv%:,percentage of events received that are already known,
dupEv/sec:,number of events received per second that are already known,
endsReconnectAsReceiver:,number of times a node ends reconnect as a receiver,
endsReconnectAsSender:,number of times a node ends reconnect as a sender,
ev/syncR:,number of events received per successful sync,
ev/syncRMAX:,max value of ev/syncR,
ev/syncS:,number of events sent per successful sync,
ev/syncSMAX:,max value of ev/syncS,
eventRecRate:,the rate at which we receive and enqueue events in ev/sec,
events/round:,average number of events in a consensus round,
events/roundMAX:,max value of events/round,
events/sec:,number of unique events received per second (created by self and others),
eventsInMem:,total number of events in memory for all members on the local machine together,
eventStreamQueueSize:,size of the queue from which we take events and write to EventStream file,
fracSyncSlowed:,fraction of syncs that are slowed to let others catch up,
gensWaitingForExpiry:,the average number of generations waiting to be expired,
getNumUserTransEvents:,getNumUserTransEvents,
hasFallenBehind:,hasFallenBehind,
hashQueueSize:,size of the queue from which we take events calculate Hash and RunningHash,
icSync/sec:,(interrupted call syncs) syncs interrupted per second initiated by this member,
intake-linked-added (%):,time dispatch event added,
intake-linked-avgTime (ms):,average time for a single cycle intake-linked,
intake-linked-busy (%):,the percentage of time the thread is busy,
intake-linked-consensus (%):,time add event to consensus,
intake-linked-preConsensus (%):,time dispatch pre-consensus event,
intake-linked-round (%):,time dispatch consensus round,
